GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12052;      Cottbus, kreisfreie Stadt;80 bis unter 85 Jahre;3300;/;/;/;/;/;/;/;3230;1240;1990
12052;      Cottbus, kreisfreie Stadt;85 bis unter 90 Jahre;2090;/;/;/;/;/;/;/;2040;/;1600
12052;      Cottbus, kreisfreie Stadt;90 Jahre und mehr;860;/;/;/;/;/;/;/;850;/;830
12052;      Cottbus, kreisfreie Stadt;Insgesamt;98890;53790;49740;25300;24450;4050;2230;1820;45100;20720;24380
12053;      Frankfurt (Oder), kreisfreie Stadt;unter 5 Jahre;2370;x;x;x;x;x;x;x;2370;1290;1080
12053;      Frankfurt (Oder), kreisfreie Stadt;5 bis unter 10 Jahre;1980;x;x;x;x;x;x;x;1980;1140;840
12053;      Frankfurt (Oder), kreisfreie Stadt;10 bis unter 15 Jahre;2090;x;x;x;x;x;x;x;2090;890;1200
12053;      Frankfurt (Oder), kreisfreie Stadt;15 bis unter 20 Jahre;1610;470;420;170;/;/;/;/;1140;630;510
12053;      Frankfurt (Oder), kreisfreie Stadt;20 bis unter 25 Jahre;4500;3060;2770;1350;1420;/;/;/;1440;560;890
12053;      Frankfurt (Oder), kreisfreie Stadt;25 bis unter 30 Jahre;3870;3300;2850;1560;1290;450;/;/;570;/;/
